# format: Latitude / Longitude  # Label # English description
33°54'12"N / 35°30'55"E  # 01: Beirut Port # The starting point featuring the reconstructed port and urban sprawl.
34°14'58"N / 35°56'02"E  # 02: Qadisha Valley # A deep, winding holy valley. Fly low between the cliffs to test your rudder skills.
34°45'25"N / 36°17'40"E  # 03: Crac des Chevaliers # The "Castle of Castles." A massive Crusader fortress sitting atop a 650m hill.
34°51'22"N / 36°14'35"E  # 04: Tartus Port # Major naval base with detailed Russian and Syrian vessel models.
35°52'19"N / 38°34'15"E  # 05: Tabqa Dam # A massive hydroelectric dam on the Euphrates River. Great for "Dam Busters" style runs.
35°54'20"N / 39°03'00"E  # 06: Raqqa City # Densely modeled city with unique bridges and complex urban terrain.
34°33'15"N / 38°16'15"E  # 07: Palmyra Ruins # Ancient Roman city. Use TGP to spot the detailed columns and the Temple of Bel.
33°41'55"N / 36°22'14"E  # 08: Sednaya Monastery # A stunning Christian monastery perched precariously on a high cliff side.
33°30'44"N / 36°18'17"E  # 09: Umayyad Mosque # The heart of Old Damascus. Fly low to see the intricate mosaics and minarets.
33°19'30"N / 36°14'20"E  # 10: Sayyidah Zaynab Shrine # A magnificent shrine with a brilliant gold dome and blue tile work.
33°17'25"N / 35°47'15"E  # 11: Mount Hermon # The highest point in the map. Excellent for ridge-crossing and high-altitude BFM.
